,Last Name,First Name,Position,Team,Points Per Game,Total FG %,Total Points Scored
77,Brown Jr.,Charles,SF,ATL,2,31.6,20
201,Graham,Treveon,SG,ATL,3.3,37.3,72
139,Dedmon,Dewayne,C,ATL,8.1,39.3,81
200,Graham,Treveon,SG,ATL,5.2,35.2,171
138,Dedmon,Dewayne,C,ATL,5.1,40.4,175
312,Labissiere,Skal,PF,ATL,5.8,55.1,190
501,Teague,Jeff,PG,ATL,7.7,41.2,193
196,Goodwin,Brandon,PG,ATL,6.1,40,206
173,Fernando,Bruno,PF,ATL,4.3,51.8,240
42,Bembry,DeAndre',SG,ATL,5.8,45.6,249
95,Carter,Vince,SF,ATL,5,35.2,298
289,Jones,Damian,C,ATL,5.6,68,306
500,Teague,Jeff,PG,ATL,12.4,44.6,448
91,Capela,Clint,C,ATL,13.9,62.9,543
451,Reddish,Cam,SF,ATL,10.5,38.4,610
257,Huerter,Kevin,SG,ATL,12.2,41.3,684
258,Hunter,De'Andre,SF,ATL,12.3,41,778
117,Collins,John,PF,ATL,21.6,58.3,885
567,Young,Trae,PG,ATL,29.6,43.7,1778
169,Fall,Tacko,C,BOS,3.2,75,19
542,Waters,Tremont,PG,BOS,3.3,34.3,33
437,Poirier,Vincent,C,BOS,1.9,48.5,39
314,Langford,Romeo,SG,BOS,2.6,37.5,69
559,Williams III,Robert,C,BOS,4.3,67.7,98
158,Edwards,Carsen,PG,BOS,3,32.7,106
207,Green,Javonte,SG,BOS,2.9,50,127
409,Ojeleye,Semi,SF,BOS,3.1,40.9,191
552,Williams,Grant,PF,BOS,3.5,41.7,218
538,Wanamaker,Brad,PG,BOS,6.6,42.8,413
296,Kanter,Enes,C,BOS,8.2,56.6,416
503,Theis,Daniel,PF,BOS,9.3,56.5,539
489,Smart,Marcus,SG,BOS,13.5,38,714
231,Hayward,Gordon,SF,BOS,17.3,50.2,778
74,Brown,Jaylen,SG,BOS,20.4,49,1022
533,Walker,Kemba,PG,BOS,21.2,42.1,1060
499,Tatum,Jayson,PF,BOS,23.6,44.8,1390
346,Martin,Jeremiah,PG,BRO,0.7,20,2
105,Chiozza,Chris,PG,BRO,2.7,29.4,27
106,Chiozza,Chris,PG,BRO,5.2,48.9,57
113,Claxton,Nicolas,PF,BRO,4.4,56.2,66
434,Pinson,Theo,SG,BRO,3.6,29,120
392,Musa,Dzanan,SG,BRO,4.2,36,148
310,Kurucs,Rodions,SF,BRO,4.2,44.8,162
102,Chandler,Wilson,SF,BRO,5.9,40.4,205
334,Luwawu-Cabarrot,Timothe,SG,BRO,6.3,40.6,247
292,Jordan,DeAndre,C,BRO,8.3,66.6,465
265,Irving,Kyrie,PG,BRO,27.4,47.8,548
502,Temple,Garrett,SG,BRO,10.3,37.8,564
5,Allen,Jarrett,C,BRO,10.6,64.6,681
326,LeVert,Caris,SG,BRO,17.7,41.4,692
447,Prince,Taurean,SF,BRO,12.1,37.6,773
224,Harris,Joe,SF,BRO,13.9,47.1,878
146,Dinwiddie,Spencer,PG,BRO,20.6,41.6,1318
103,Chealey,Joe,PG,CHA,0.5,0,2
31,Batum,Nicolas,SF,CHA,3.6,34.6,79
354,McDaniels,Jalen,PF,CHA,5.6,47.1,89
344,Martin,Caleb,SF,CHA,6.2,44,111
237,Hernangomez,Willy,C,CHA,6.1,52.9,190
21,Bacon,Dwayne,SF,CHA,5.7,34.8,224
345,Martin,Cody,PF,CHA,5,43,238
49,Biyombo,Bismack,C,CHA,7.4,54.3,393
376,Monk,Malik,SG,CHA,10.3,43.4,564
568,Zeller,Cody,C,CHA,11.1,52.3,642
540,Washington,P.J.,PF,CHA,12.2,45.5,710
68,Bridges,Miles,SF,CHA,13,42.4,843
467,Rozier,Terry,PG,CHA,18,42.2,1134
199,Graham,Devonte',PG,CHA,18.2,38.2,1145
495,Strus,Max,SG,CHI,2.5,66.7,5
375,Mokoka,Adam,SG,CHI,2.9,42.9,32
171,Felicio,Cristiano,C,CHI,3.9,63,86
442,Porter Jr.,Otto,SF,CHI,11.9,44.3,167
226,Harrison,Shaquille,G,CHI,4.9,46.7,209
308,Kornet,Luke,PF,CHI,6,43.9,215
259,Hutchison,Chandler,SF,CHI,7.8,45.7,218
185,Gafford,Daniel,PF,CHI,5.1,70.1,220
522,Valentine,Denzel,SF,CHI,6.8,40.9,246
16,Arcidiacono,Ryan,PG,CHI,4.5,40.9,261
157,Dunn,Kris,PG,CHI,7.3,44.4,373
96,Carter Jr.,Wendell,C,CHI,11.3,53.4,484
475,Satoransky,Tomas,PG,CHI,9.9,43,644
566,Young,Thaddeus,PF,CHI,10.3,44.7,659
343,Markkanen,Lauri,PF,CHI,14.7,42.5,737
547,White,Coby,PG,CHI,13.2,39.4,859
315,LaVine,Zach,SG,CHI,25.5,44.9,1530
56,Bolden,Marques,C,CLE,0,0,0
377,Mooney,Matt,SG,CLE,0.5,25,2
400,Newman,Malik,SG,CLE,2,0,2
530,Wade,Dean,PF,CLE,1.7,69.2,20
167,Exum,Dante,G,CLE,2.2,43.5,24
569,Zizic,Ante,C,CLE,4.4,56.9,96
168,Exum,Dante,G,CLE,5.6,47.9,135
155,Drummond,Andre,C,CLE,17.5,54.7,140
140,Dellavedova,Matthew,PG,CLE,3.1,35.4,177
358,McKinnie,Alfonzo,SF,CLE,4.6,42.7,182
440,Porter Jr.,Kevin,SG,CLE,10,44.2,498
396,Nance Jr.,Larry,PF,CLE,10.1,53.1,564
507,Thompson,Tristan,C,CLE,12,51.3,684
419,Osman,Cedi,SF,CLE,11,43.7,718
188,Garland,Darius,PG,CLE,12.3,40.1,728
154,Drummond,Andre,C,CLE,17.8,53,870
332,Love,Kevin,PF,CLE,17.6,45,987
480,Sexton,Collin,PG,CLE,20.8,47.2,1349
450,Reaves,Josh,SG,DAL,0,0,0
300,Kidd-Gilchrist,Michael,SF,DAL,0.4,14.3,4
115,Cleveland,Antonius,SG,DAL,0.8,33.3,5
271,Jackson,Justin,SF,DAL,4.4,41.4,31
299,Kidd-Gilchrist,Michael,SF,DAL,4,34,48
100,Cauley-Stein,Willie,C,DAL,5.2,68.9,67
320,Lee,Courtney,SG,DAL,4.5,48.8,107
25,Barea,J.J.,SG,DAL,7.2,41.3,194
342,Marjanovic,Boban,C,DAL,6.3,55.8,232
99,Cauley-Stein,Willie,C,DAL,7.9,56,323
445,Powell,Dwight,PF,DAL,9.4,63.8,376
79,Brunson,Jalen,PG,DAL,8.2,46.6,466
564,Wright,Delon,SG,DAL,7.3,46.9,474
175,Finney-Smith,Dorian,F,DAL,9.3,46.8,597
302,Kleber,Maxi,PF,DAL,9.2,45.9,604
131,Curry,Seth,PG,DAL,12.6,50,742
444,Porzingis,Kristaps,PF,DAL,19.2,42,981
217,Hardaway Jr.,Tim,SG,DAL,15.8,43.7,998
148,Doncic,Luka,SG,DAL,28.7,46.1,1549
134,Daniels,Troy,SG,DEN,0,0,0
30,Bates-Diop,Keita,SF,DEN,3.5,100,7
528,Vonleh,Noah,PF,DEN,2,100,8
90,Cancar,Vlatko,SF,DEN,1.2,40,17
152,Dozier,PJ,G,DEN,4.1,39.6,86
527,Vonleh,Noah,PF,DEN,4.1,54.7,119
