GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
3/1/2020,21900895,Final,1610612766,1610612749,2019,1610612766,85,0.354,0.9,0.229,22,47,1610612749,93,0.402,0.762,0.226,20,61,0
3/1/2020,21900896,Final,1610612750,1610612742,2019,1610612750,91,0.364,0.4,0.31,19,57,1610612742,111,0.468,0.632,0.275,28,56,0
3/1/2020,21900897,Final,1610612746,1610612755,2019,1610612746,136,0.592,0.805,0.542,25,37,1610612755,130,0.505,0.65,0.488,27,37,1
3/1/2020,21900898,Final,1610612743,1610612761,2019,1610612743,133,0.566,0.7,0.5,38,41,1610612761,118,0.461,0.897,0.263,24,36,1
3/1/2020,21900899,Final,1610612758,1610612765,2019,1610612758,106,0.407,0.885,0.257,18,51,1610612765,100,0.413,0.667,0.429,23,42,1
3/1/2020,21900900,Final,1610612740,1610612747,2019,1610612740,114,0.421,0.818,0.219,24,52,1610612747,122,0.515,0.9,0.371,23,36,0
3/1/2020,21900901,Final,1610612744,1610612764,2019,1610612744,110,0.472,0.708,0.321,25,52,1610612764,124,0.488,0.889,0.667,24,34,0
2/29/2020,21900887,Final,1610612752,1610612741,2019,1610612752,125,0.553,0.697,0.4,29,50,1610612741,115,0.461,0.696,0.486,26,33,1
2/29/2020,21900888,Final,1610612737,1610612757,2019,1610612737,129,0.548,0.864,0.429,34,36,1610612757,117,0.5,0.714,0.286,14,42,1
2/29/2020,21900889,Final,1610612748,1610612751,2019,1610612748,116,0.451,0.833,0.368,27,45,1610612751,113,0.465,0.739,0.364,30,44,1
2/29/2020,21900890,Final,1610612739,1610612754,2019,1610612739,104,0.482,0.85,0.227,30,36,1610612754,113,0.54,0.786,0.348,30,38,0
2/29/2020,21900891,Final,1610612763,1610612747,2019,1610612763,105,0.453,0.818,0.323,27,51,1610612747,88,0.409,0.583,0.25,26,45,1
2/29/2020,21900892,Final,1610612738,1610612745,2019,1610612738,110,0.39,0.76,0.31,22,54,1610612745,111,0.418,0.778,0.273,17,53,0
2/29/2020,21900893,Final,1610612759,1610612753,2019,1610612759,114,0.524,0.75,0.452,28,31,1610612753,113,0.488,0.696,0.405,28,41,1
2/29/2020,21900894,Final,1610612756,1610612744,2019,1610612756,99,0.41,0.826,0.414,24,40,1610612744,115,0.471,0.75,0.3,30,49,0
2/28/2020,21900877,Final,1610612753,1610612750,2019,1610612753,136,0.541,0.818,0.3,36,54,1610612750,125,0.484,0.667,0.386,27,33,1
2/28/2020,21900878,Final,1610612737,1610612751,2019,1610612737,141,0.515,0.733,0.487,32,52,1610612751,118,0.457,0.762,0.391,30,38,1
2/28/2020,21900879,Final,1610612761,1610612766,2019,1610612761,96,0.347,0.69,0.233,19,45,1610612766,99,0.436,0.72,0.433,23,58,0
2/28/2020,21900880,Final,1610612748,1610612742,2019,1610612748,126,0.519,0.75,0.486,30,40,1610612742,118,0.476,0.895,0.42,25,35,1
2/28/2020,21900881,Final,1610612763,1610612758,2019,1610612763,101,0.429,0.75,0.267,27,52,1610612758,104,0.418,0.81,0.289,24,47,0
2/28/2020,21900882,Final,1610612749,1610612760,2019,1610612749,133,0.5,0.857,0.467,34,66,1610612760,86,0.363,0.7,0.171,14,36,1
2/28/2020,21900883,Final,1610612740,1610612739,2019,1610612740,116,0.545,0.733,0.391,36,49,1610612739,104,0.453,0.583,0.355,27,34,1
2/28/2020,21900884,Final,1610612756,1610612765,2019,1610612756,111,0.6,0.706,0.391,31,38,1610612765,113,0.489,0.75,0.406,27,31,0
2/28/2020,21900885,Final,1610612762,1610612764,2019,1610612762,129,0.494,0.733,0.514,23,54,1610612764,119,0.459,0.714,0.378,23,41,1
2/28/2020,21900886,Final,1610612746,1610612743,2019,1610612746,132,0.539,0.9,0.462,35,46,1610612743,103,0.451,0.75,0.36,19,39,1
2/27/2020,21900873,Final,1610612755,1610612752,2019,1610612755,115,0.495,0.769,0.484,32,44,1610612752,106,0.506,0.583,0.348,28,39,1
2/27/2020,21900874,Final,1610612754,1610612757,2019,1610612754,106,0.444,0.783,0.32,21,48,1610612757,100,0.461,0.643,0.3,14,45,1
2/27/2020,21900875,Final,1610612760,1610612758,2019,1610612760,112,0.488,0.724,0.346,20,37,1610612758,108,0.451,1,0.343,30,45,1
2/27/2020,21900876,Final,1610612744,1610612747,2019,1610612744,86,0.425,0.9,0.281,27,37,1610612747,116,0.511,0.667,0.333,24,44,0
2/26/2020,21900864,Final,1610612766,1610612752,2019,1610612766,107,0.47,0.76,0.333,25,37,1610612752,101,0.506,0.647,0.267,22,42,1
2/26/2020,21900865,Final,1610612739,1610612755,2019,1610612739,108,0.526,0.882,0.458,24,48,1610612755,94,0.404,0.643,0.342,22,31,1
2/26/2020,21900866,Final,1610612764,1610612751,2019,1610612764,110,0.427,0.813,0.385,22,39,1610612751,106,0.414,0.686,0.278,15,56,1
2/26/2020,21900867,Final,1610612737,1610612753,2019,1610612737,120,0.447,0.92,0.361,30,42,1610612753,130,0.49,0.72,0.438,30,52,0
2/26/2020,21900868,Final,1610612748,1610612750,2019,1610612748,126,0.526,0.767,0.423,30,43,1610612750,129,0.516,0.72,0.37,28,33,0
2/26/2020,21900870,Final,1610612745,1610612763,2019,1610612745,140,0.559,0.867,0.46,22,44,1610612763,112,0.398,0.619,0.333,28,49,1
2/26/2020,21900869,Final,1610612759,1610612742,2019,1610612759,103,0.424,0.737,0.333,22,55,1610612742,109,0.419,0.667,0.378,25,43,0
2/26/2020,21900871,Final,1610612756,1610612746,2019,1610612756,92,0.391,0.833,0.265,29,48,1610612746,102,0.44,0.933,0.368,22,46,0
2/26/2020,21900872,Final,1610612762,1610612738,2019,1610612762,103,0.449,0.733,0.3,16,41,1610612738,114,0.536,0.813,0.423,21,44,0
2/25/2020,21900857,Final,1610612754,1610612766,2019,1610612754,119,0.57,0.846,0.435,35,56,1610612766,80,0.333,0.444,0.303,22,39,1
2/25/2020,21900858,Final,1610612761,1610612749,2019,1610612761,97,0.352,0.714,0.346,21,43,1610612749,108,0.381,0.833,0.333,23,53,0
2/25/2020,21900859,Final,1610612741,1610612760,2019,1610612741,122,0.536,0.667,0.387,22,39,1610612760,124,0.553,0.743,0.467,25,37,0
2/25/2020,21900860,Final,1610612743,1610612765,2019,1610612743,115,0.579,0.818,0.474,33,41,1610612765,98,0.407,0.81,0.366,24,33,1
2/25/2020,21900861,Final,1610612747,1610612740,2019,1610612747,118,0.441,0.714,0.295,27,51,1610612740,109,0.453,0.767,0.296,31,45,1
2/25/2020,21900862,Final,1610612757,1610612738,2019,1610612757,106,0.447,0.739,0.419,24,41,1610612738,118,0.478,0.929,0.487,19,45,0
2/25/2020,21900863,Final,1610612744,1610612758,2019,1610612744,94,0.443,0.833,0.143,21,34,1610612758,112,0.526,0.559,0.433,25,40,0
2/24/2020,21900849,Final,1610612739,1610612748,2019,1610612739,125,0.443,0.735,0.378,25,53,1610612748,119,0.458,0.75,0.381,33,49,1
2/24/2020,21900850,Final,1610612755,1610612737,2019,1610612755,129,0.511,0.9,0.4,27,48,1610612737,112,0.412,0.889,0.211,19,44,1
2/24/2020,21900851,Final,1610612764,1610612749,2019,1610612764,134,0.48,0.758,0.429,27,41,1610612749,137,0.57,0.815,0.459,26,45,0
2/24/2020,21900852,Final,1610612751,1610612753,2019,1610612751,113,0.479,0.625,0.432,29,49,1610612753,115,0.494,0.824,0.382,27,41,0
2/24/2020,21900853,Final,1610612745,1610612752,2019,1610612745,123,0.5,0.677,0.333,20,38,1610612752,112,0.44,0.7,0.379,20,54,1
2/24/2020,21900854,Final,1610612742,1610612750,2019,1610612742,139,0.505,0.75,0.364,28,54,1610612750,123,0.442,0.706,0.357,16,42,1
2/24/2020,21900855,Final,1610612762,1610612756,2019,1610612762,111,0.471,0.86,0.385,16,30,1610612756,131,0.563,0.875,0.6,33,38,0
2/24/2020,21900856,Final,1610612746,1610612763,2019,1610612746,124,0.5,0.824,0.432,33,50,1610612763,97,0.416,0.727,0.259,20,45,1
2/23/2020,21900842,Final,1610612747,1610612738,2019,1610612747,114,0.453,0.676,0.324,20,46,1610612738,112,0.458,0.767,0.382,20,44,1
2/23/2020,21900843,Final,1610612761,1610612754,2019,1610612761,127,0.511,0.889,0.386,32,57,1610612754,81,0.326,0.647,0.242,23,39,1
2/23/2020,21900844,Final,1610612743,1610612750,2019,1610612743,128,0.589,0.647,0.367,29,38,1610612750,116,0.444,0.759,0.35,26,38,1
2/23/2020,21900845,Final,1610612741,1610612764,2019,1610612741,126,0.556,0.643,0.486,27,37,1610612764,117,0.507,0.861,0.4,24,34,1
2/23/2020,21900846,Final,1610612760,1610612759,2019,1610612760,131,0.575,0.875,0.455,28,54,1610612759,103,0.369,0.842,0.289,27,43,1
2/23/2020,21900847,Final,1610612744,1610612740,2019,1610612744,101,0.435,0.667,0.314,28,48,1610612740,115,0.469,0.462,0.405,34,52,0
2/23/2020,21900848,Final,1610612757,1610612765,2019,1610612757,107,0.488,0.632,0.433,20,41,1610612765,104,0.43,0.95,0.314,18,44,1
2/22/2020,21900835,Final,1610612746,1610612758,2019,1610612746,103,0.391,0.862,0.333,20,47,1610612758,112,0.449,0.769,0.387,25,48,0
2/22/2020,21900836,Final,1610612766,1610612751,2019,1610612766,86,0.352,0.571,0.343,22,45,1610612751,115,0.483,0.737,0.362,26,54,0
2/22/2020,21900837,Final,1610612737,1610612742,2019,1610612737,111,0.439,0.654,0.216,27,53,1610612742,107,0.449,0.684,0.318,23,48,1
2/22/2020,21900838,Final,1610612748,1610612739,2019,1610612748,124,0.57,0.75,0.475,34,29,1610612739,105,0.481,0.727,0.361,29,40,1
2/22/2020,21900839,Final,1610612741,1610612756,2019,1610612741,104,0.434,0.857,0.368,18,38,1610612756,112,0.442,0.839,0.333,26,47,0
2/22/2020,21900840,Final,1610612749,1610612755,2019,1610612749,119,0.527,0.692,0.341,35,57,1610612755,98,0.354,0.833,0.342,17,43,1
2/22/2020,21900841,Final,1610612762,1610612745,2019,1610612762,110,0.467,0.792,0.226,18,46,1610612745,120,0.489,0.714,0.417,20,42,0
2/21/2020,21900826,Final,1610612753,1610612742,2019,1610612753,106,0.394,0.789,0.209,21,48,1610612742,122,0.512,0.808,0.395,26,50,0
2/21/2020,21900827,Final,1610612764,1610612739,2019,1610612764,108,0.387,0.739,0.243,24,47,1610612739,113,0.531,0.64,0.407,19,47,0
2/21/2020,21900828,Final,1610612752,1610612754,2019,1610612752,98,0.432,0.68,0.44,21,40,1610612754,106,0.409,0.788,0.286,20,50,0
2/21/2020,21900829,Final,1610612761,1610612756,2019,1610612761,118,0.525,0.909,0.378,24,48,1610612756,101,0.413,0.826,0.176,29,34,1
2/21/2020,21900830,Final,1610612750,1610612738,2019,1610612750,117,0.404,0.857,0.357,23,43,1610612738,127,0.463,0.784,0.345,21,58,0
2/21/2020,21900831,Final,1610612760,1610612743,2019,1610612760,113,0.46,0.889,0.346,19,44,1610612743,101,0.481,0.913,0.222,19,39,1
2/21/2020,21900832,Final,1610612762,1610612759,2019,1610612762,104,0.427,0.846,0.364,25,47,1610612759,113,0.44,0.885,0.5,22,48,0
2/21/2020,21900833,Final,1610612747,1610612763,2019,1610612747,117,0.477,0.65,0.31,25,49,1610612763,105,0.457,0.516,0.333,22,50,1
2/21/2020,21900834,Final,1610612757,1610612740,2019,1610612757,115,0.457,0.76,0.37,20,46,1610612740,128,0.536,0.606,0.529,36,46,0
2/20/2020,21900820,Final,1610612765,1610612749,2019,1610612765,106,0.482,0.813,0.351,25,46,1610612749,126,0.505,0.815,0.303,24,41,0
2/20/2020,21900821,Final,1610612737,1610612748,2019,1610612737,129,0.482,0.886,0.457,22,41,1610612748,124,0.408,0.868,0.297,28,51,1
2/20/2020,21900822,Final,1610612755,1610612751,2019,1610612755,112,0.442,0.914,0.182,19,48,1610612751,104,0.353,0.786,0.294,22,49,1
2/20/2020,21900823,Final,1610612741,1610612766,2019,1610612741,93,0.425,0.632,0.226,24,38,1610612766,103,0.473,0.862,0.286,22,44,0
2/20/2020,21900824,Final,1610612758,1610612763,2019,1610612758,129,0.506,0.722,0.487,22,27,1610612763,125,0.506,0.844,0.4,25,51,1
2/20/2020,21900825,Final,1610612744,1610612745,2019,1610612744,105,0.494,0.833,0.212,26,40,1610612745,135,0.529,0.909,0.51,31,36,0
2/13/2020,21900818,Final,1610612738,1610612746,2019,1610612738,141,0.437,0.825,0.419,22,51,1610612746,133,0.418,0.811,0.314,19,55,1
2/13/2020,21900819,Final,1610612740,1610612760,2019,1610612740,118,0.488,0.741,0.4,31,46,1610612760,123,0.5,0.818,0.481,28,40,0
2/12/2020,21900807,Final,1610612739,1610612737,2019,1610612739,127,0.511,0.84,0.357,25,55,1610612737,105,0.429,0.8,0.382,24,38,1
2/12/2020,21900808,Final,1610612753,1610612765,2019,1610612753,116,0.458,0.889,0.333,34,46,1610612765,112,0.435,0.933,0.4,28,47,1
2/12/2020,21900809,Final,1610612751,1610612761,2019,1610612751,101,0.409,0.8,0.257,27,55,1610612761,91,0.378,0.769,0.302,21,42,1
2/12/2020,21900810,Final,1610612754,1610612749,2019,1610612754,118,0.523,0.792,0.333,28,44,1610612749,111,0.407,0.96,0.351,18,44,1
2/12/2020,21900811,Final,1610612752,1610612764,2019,1610612752,96,0.409,0.724,0.13,19,52,1610612764,114,0.476,0.727,0.357,25,40,0
2/12/2020,21900812,Final,1610612763,1610612757,2019,1610612763,111,0.474,0.682,0.261,26,57,1610612757,104,0.371,0.792,0.351,21,51,1
2/12/2020,21900813,Final,1610612750,1610612766,2019,1610612750,108,0.386,0.8,0.286,25,48,1610612766,115,0.467,0.652,0.412,22,52,0
2/12/2020,21900814,Final,1610612742,1610612758,2019,1610612742,130,0.565,0.81,0.425,34,47,1610612758,111,0.414,0.773,0.308,26,40,1
2/12/2020,21900815,Final,1610612756,1610612744,2019,1610612756,112,0.462,0.933,0.378,25,40,1610612744,106,0.506,0.895,0.355,27,38,1
2/12/2020,21900816,Final,1610612762,1610612748,2019,1610612762,116,0.482,0.87,0.389,23,53,1610612748,101,0.432,0.75,0.333,19,37,1
2/12/2020,21900817,Final,1610612743,1610612747,2019,1610612743,116,0.5,0.773,0.44,32,42,1610612747,120,0.505,0.519,0.364,29,49,0
2/11/2020,21900802,Final,1610612755,1610612746,2019,1610612755,110,0.463,0.667,0.296,25,50,1610612746,103,0.444,0.692,0.452,25,42,1
2/11/2020,21900803,Final,1610612764,1610612741,2019,1610612764,126,0.539,0.792,0.344,28,44,1610612741,114,0.478,0.714,0.41,25,44,1
2/11/2020,21900804,Final,1610612740,1610612757,2019,1610612740,138,0.533,0.813,0.412,40,50,1610612757,117,0.473,0.786,0.241,21,40,1
2/11/2020,21900805,Final,1610612760,1610612759,2019,1610612760,106,0.459,0.81,0.355,19,35,1610612759,114,0.488,0.926,0.28,20,46,0
2/11/2020,21900806,Final,1610612745,1610612738,2019,1610612745,116,0.429,0.881,0.289,17,45,1610612738,105,0.435,0.8,0.344,24,48,1
2/10/2020,21900793,Final,1610612765,1610612766,2019,1610612765,76,0.354,0.846,0.2,21,52,1610612766,87,0.375,0.857,0.25,19,45,0
2/10/2020,21900794,Final,1610612754,1610612751,2019,1610612754,105,0.489,0.727,0.233,28,40,1610612751,106,0.402,0.75,0.324,20,53,0
2/10/2020,21900795,Final,1610612753,1610612737,2019,1610612753,135,0.526,0.773,0.474,33,45,1610612737,126,0.534,0.941,0.432,33,31,1
2/10/2020,21900796,Final,1610612761,1610612750,2019,1610612761,137,0.573,0.783,0.515,29,41,1610612750,126,0.453,0.857,0.45,24,38,1
2/10/2020,21900797,Final,1610612749,1610612758,2019,1610612749,123,0.448,0.826,0.429,26,55,1610612758,111,0.416,0.722,0.326,23,49,1
2/10/2020,21900798,Final,1610612742,1610612762,2019,1610612742,119,0.47,0.839,0.349,24,26,1610612762,123,0.59,0.762,0.429,27,45,0
2/10/2020,21900799,Final,1610612743,1610612759,2019,1610612743,127,0.563,0.826,0.514,34,37,1610612759,120,0.482,0.88,0.5,33,36,1
2/10/2020,21900800,Final,1610612744,1610612748,2019,1610612744,101,0.39,0.882,0.324,23,40,1610612748,113,0.494,0.714,0.364,36,45,0
2/10/2020,21900801,Final,1610612747,1610612756,2019,1610612747,125,0.516,0.68,0.378,28,59,1610612756,100,0.421,0.806,0.355,26,29,1
2/9/2020,21900786,Final,1610612760,1610612738,2019,1610612760,111,0.453,0.759,0.407,14,44,1610612738,112,0.452,0.741,0.444,19,53,0
2/9/2020,21900787,Final,1610612737,1610612752,2019,1610612737,140,0.454,0.903,0.35,29,50,1610612752,135,0.473,0.72,0.382,30,56,1
2/9/2020,21900788,Final,1610612755,1610612741,2019,1610612755,118,0.5,0.719,0.407,29,44,1610612741,111,0.489,0.765,0.375,23,42,1
2/9/2020,21900789,Final,1610612764,1610612763,2019,1610612764,99,0.35,0.759,0.212,25,50,1610612763,106,0.422,0.6,0.156,19,62,0
2/9/2020,21900790,Final,1610612745,1610612762,2019,1610612745,113,0.463,0.714,0.357,20,36,1610612762,114,0.488,0.833,0.395,25,48,0
2/9/2020,21900791,Final,1610612739,1610612746,2019,1610612739,92,0.368,0.682,0.212,22,45,1610612746,133,0.57,0.75,0.333,28,52,0
2/9/2020,21900792,Final,1610612757,1610612748,2019,1610612757,115,0.471,0.727,0.452,20,43,1610612748,109,0.398,0.786,0.408,31,49,1
2/8/2020,21900777,Final,1610612753,1610612749,2019,1610612753,95,0.378,0.786,0.25,28,46,1610612749,111,0.452,0.75,0.385,26,62,0
2/8/2020,21900778,Final,1610612766,1610612742,2019,1610612766,100,0.437,0.722,0.306,15,39,1610612742,116,0.506,1,0.486,29,46,0
2/8/2020,21900779,Final,1610612765,1610612752,2019,1610612765,92,0.493,0.688,0.448,21,28,1610612752,95,0.447,0.647,0.364,24,47,0
2/8/2020,21900780,Final,1610612754,1610612740,2019,1610612754,117,0.53,0.741,0.346,25,37,1610612740,124,0.463,0.84,0.395,27,53,0
2/8/2020,21900781,Final,1610612761,1610612751,2019,1610612761,119,0.474,0.714,0.4,22,48,1610612751,118,0.446,0.833,0.364,27,46,1
2/8/2020,21900782,Final,1610612750,1610612746,2019,1610612750,142,0.547,0.667,0.591,39,46,1610612746,115,0.477,0.828,0.346,24,43,1
2/8/2020,21900783,Final,1610612744,1610612747,2019,1610612744,120,0.517,0.652,0.406,31,33,1610612747,125,0.524,0.735,0.483,29,47,0
2/8/2020,21900784,Final,1610612756,1610612743,2019,1610612756,108,0.437,1,0.281,25,41,1610612743,117,0.549,0.762,0.393,23,40,0
2/8/2020,21900785,Final,1610612758,1610612759,2019,1610612758,122,0.523,0.65,0.543,25,39,1610612759,102,0.506,0.722,0.292,23,41,1
2/7/2020,21900769,Final,1610612755,1610612763,2019,1610612755,119,0.533,0.6,0.56,34,50,1610612763,107,0.409,0.839,0.238,25,40,1
2/7/2020,21900770,Final,1610612764,1610612742,2019,1610612764,119,0.5,0.769,0.5,28,39,1610612742,118,0.462,0.857,0.4,27,49,1
2/7/2020,21900771,Final,1610612738,1610612737,2019,1610612738,112,0.43,0.815,0.432,23,47,1610612737,107,0.407,0.923,0.333,21,46,1
2/7/2020,21900772,Final,1610612754,1610612761,2019,1610612754,106,0.453,0.818,0.294,26,47,1610612761,115,0.477,0.824,0.447,28,39,0
2/7/2020,21900773,Final,1610612760,1610612765,2019,1610612760,108,0.513,0.833,0.217,21,42,1610612765,101,0.427,0.737,0.289,19,37,1
2/7/2020,21900774,Final,1610612756,1610612745,2019,1610612756,127,0.558,0.963,0.484,29,51,1610612745,91,0.341,0.846,0.229,16,29,1
